SCORING SYSTEM;0;No or undetectable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;Very Low;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;Low;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;Moderate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;Very High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assessment database (climate change-related risks to the five habitability pillars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Risk to habitability (synthesis);;;;;;;;;;;;;;;;Mean confidence levels (synthesis);;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MALE' (North Kaafu, Maldives) 
= illustrative of ""urban island/Indian ocean"" more generally";;;Risk to Pillar 1 (Land);;;;;;Risk to Pillar 2 (Freshwater Supply);;;;;;;;Risk to Pillar 3 (Food Supply);;;;;;;;Risk to Pillar 4 (Settlement & Infrastructures);;;;;;;;Risk to Pillar 5 (Economic opportunities);;;;;;;;;;"Urban atoll island, Indian Ocean
(e.g. Male', Maldives)";;Rescaled score per pillar (on a 0-100 scale, without weigthing across pillars);;;;;Aggregated risk to habitability (with weighting, i.e. Pillar1 *2);;Pillars' contribution (weighted, Pillar 1*2) to aggregated risks (%);;;;;;;"Urban atoll island, Indian Ocean
(e.g. Male', Maldives)";;Mean score per pillar;;;;;Mean confidence level across Habitability Pillars
;;;"C1.1 
Coastal erosion";;"C1.2
Flooding
**";;Combination;;"C2.1
Fresh groundwater salinization/loss";;"C2.2
Decrease in rainwater harvesting";;"C2.3
Decrease in desalination";;Combination;;"C3.1
Reduced reef fisheries production";;"C3.2
Redistribution of tuna
**";;"C3.3
Reduced production of crops and livestocks ";;Combination;;"C4.1
Loss of settlements";;"C4.2
Loss of critical infrastructure";;"C4.3
Loss of transport connectivity
**";;Combination;;"C5.1
Reduction in tuna fisheries revenue";;"C5.2
Reduction in tourism revenue";;"C5.3
Reduction in other revenue streams (aquaculture, etc.)";;Combination;;;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";Sum of weighted scaled scores (0-600);Re-rescaled (0-100);"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";;;;;"Pillar 1
(Land)";"Pillar 2
(Freshwater Supply)";"Pillar 3
(Food Supply)";"Pillar 4
(Settlement & Infrastructures)";"Pillar 5
(Economic opportunities)";
;;;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;Score;Conf. Level;;;;;;;;;;;;;;;;;;;;;;;;;;
